,nom,ec_min,ec_max,ph_min,ph_max
0,Artichoke,0.8,1.8,6.5,7.5
1,Arugula,0.8,1.8,6.0,7.5
2,Asparagus,1.4,1.8,6.0,6.8
3,Banana,1.8,2.2,5.5,6.5
4,Beans,1.8,2.5,6.0,6.5
5,Beetroot,0.8,5.0,6.0,6.5
6,Bell Pepper,1.8,2.8,6.0,6.5
7,Black currant,1.4,1.8,6.0,6.0
8,Blueberry,1.8,2.0,4.0,5.0
9,Broad bean,1.8,2.2,6.0,6.5
10,Broccoli,2.8,3.5,6.0,6.5
11,Brussels sprouts,2.5,3.0,6.5,7.5
12,Cabbage,2.5,3.0,6.5,7.0
13,Carrots,1.6,2.0,6.3,6.3
14,Cauliflower,0.5,2.0,6.0,7.0
15,Celery,1.8,2.4,6.5,6.5
16,Chili,1.8,2.8,5.8,6.3
17,Cress,1.2,2.4,6.0,6.5
18,Cucumber,1.7,2.5,5.8,6.0
19,Edible Flower,1.5,1.5,5.5,6.0
20,Eggplant,2.5,3.5,5.5,6.5
21,Endive,2.0,2.4,5.5,5.5
22,Ginger,2.0,2.5,5.8,6.0
23,Garlic,1.4,1.8,6.0,6.0
24,Hot peppers,1.4,1.8,6.0,6.5
25,Kale,1.3,1.5,5.5,6.5
26,Leeks,1.4,1.8,6.5,7.0
27,Lemon balm,1.0,1.6,5.5,6.5
28,Lettuce,0.8,1.2,5.5,6.5
29,Melon,2.0,2.5,5.5,6.0
30,Onions,1.2,1.8,6.0,6.7
31,Okra,2.0,2.4,6.5,6.5
32,Pak Choi_Tatsoi,1.5,2.0,6.0,7.5
33,Parsnip,1.4,1.8,6.0,6.0
34,Pea,0.8,1.8,6.0,7.0
35,Pineapple,2.0,2.4,5.5,6.0
36,Potato,2.0,2.5,5.0,6.0
37,Pumpkin,1.8,2.4,5.5,7.5
38,Radish,1.6,2.2,6.0,7.0
39,Red currant,1.4,1.8,6.0,6.0
40,Rhubarb,1.6,2.0,5.0,6.0
41,Salad,0.8,1.5,5.5,6.5
42,Rocket,0.8,1.2,6.0,7.5
43,Spinach,1.8,2.3,6.0,7.0
44,Strawberry,1.8,2.2,5.5,6.5
45,Sweet Corn,1.6,2.4,6.0,6.0
46,Sweet Potato,2.0,2.5,6.0,6.5
47,Swiss chard,1.8,2.3,6.0,7.0
48,Sweet Granadilla,1.6,2.4,6.5,6.5
49,Tomatoes,1.5,2.5,5.5,6.5
50,Turnip,1.8,2.4,6.0,6.5
51,Watermelon,1.5,2.4,5.8,5.8
52,Zucchini,1.8,2.4,6.0,6.0
54,African Violet,1.2,1.5,6.0,7.0
55,Basil,1.0,1.6,5.5,6.0
56,Bean,2.0,4.0,6.0,6.0
58,Broccoli,2.8,3.5,6.0,6.8
61,Carnation,2.0,3.5,6.0,6.0
62,Courgettes,1.8,2.4,6.0,6.0
63,Cucumber,1.7,2.0,5.0,5.5
64,Eggplant,2.5,3.5,6.0,6.0
65,Ficus,1.6,2.4,5.5,6.0
66,Leek,1.4,1.8,6.5,7.0
67,Lettuce,1.2,1.8,6.0,7.0
68,Marrow,1.8,2.4,6.0,6.0
70,Pak Choi,1.5,2.0,7.0,7.0
71,Peppers,0.8,1.8,5.5,6.0
72,Parsley,1.8,2.2,6.0,6.5
73,Rhubarb,1.6,2.0,5.5,6.0
74,Rose,1.5,2.5,5.5,6.0
76,Strawberry,1.8,2.2,6.0,6.0
77,Sage,1.0,1.6,5.5,6.5
78,Tomato,2.0,4.0,6.0,6.5
79,Anise,0.9,1.4,5.8,6.4
81,Catnip,1.0,1.6,5.5,6.5
82,Chamomile,1.0,1.6,5.5,6.5
83,Chervil,0.8,1.8,5.5,6.0
84,Chickory,2.0,2.4,5.5,6.0
85,Chives,1.8,2.4,6.0,6.5
86,Cilantro,1.2,1.8,5.8,6.4
87,Coriander,1.2,1.8,5.8,6.4
88,Dill,1.0,1.6,5.5,6.4
89,Fennel,1.0,1.4,6.4,6.8
90,Lavender,1.0,1.4,6.4,6.8
91,Lemon Balm,1.0,1.6,5.5,6.5
92,Marjoram,1.6,2.0,6.0,6.0
93,Mint,2.0,2.4,5.5,6.0
94,Mustard Cress,1.2,2.4,6.0,6.5
95,Oregano,1.8,2.3,6.0,7.0
96,Parsley,0.8,1.8,5.5,6.0
97,Rosemary,1.0,1.6,5.5,6.0
99,Tarragon,1.0,1.8,5.5,6.5
100,Thyme,0.8,1.6,5.5,7.0
101,Vietnamese Coriander,1.2,1.8,6.5,6.8
102,Watercress,0.4,1.8,5.8,6.4
103,Arugula,0.8,1.4,5.5,6.8
104,Basil,1.0,1.6,5.5,6.5
105,Bean,1.8,2.4,6.0,6.5
106,Bok_Choy,1.5,2.0,6.5,7.0
108,Brussel Sprouts,2.5,3.0,6.5,7.5
109,Bunching Onion,1.8,2.4,5.5,6.8
112,Celery,1.8,2.4,6.3,6.7
113,Chamomile,0.8,1.4,5.5,6.5
115,Cilantro,1.3,1.8,6.5,6.7
116,Collard Greens,1.6,2.5,5.5,6.8
117,Cucumber,1.8,3.0,5.8,6.0
118,Daisy,1.2,1.8,5.5,6.5
119,Dandelion,1.0,1.8,5.8,6.5
122,Kale,1.6,2.5,5.5,6.8
126,Marigold,1.0,3.6,5.8,6.5
127,Marjoram,1.6,2.3,6.0,7.0
130,Mustard Greens,1.2,2.4,5.5,6.8
131,Nasturtium,0.8,1.6,6.0,7.0
132,Oregano,1.8,2.3,6.0,6.8
135,Peppers_Bell,2.0,2.5,6.0,6.5
136,Peppers_Hot,2.0,3.5,6.0,6.5
138,Radish,1.6,2.3,6.0,7.0
141,Savory,1.8,2.4,6.5,7.0
142,Spinach,1.8,2.3,5.5,6.6
143,Squash,1.8,2.4,5.0,6.0
144,Sunflower,1.2,1.8,5.5,6.5
145,Stevia,0.8,1.6,6.0,6.5
146,Strawberries,1.0,1.4,5.0,5.5
147,Sunflower,1.2,1.8,5.5,6.8
148,Swiss Chard,1.8,2.3,6.0,6.5
150,Tomato,2.0,5.0,5.5,6.5
151,Viola,1.3,1.8,5.5,6.2
152,Watercress,0.4,1.8,6.5,7.0
154,Wheatgrass,0.8,1.2,6.0,7.0
155,Zucchini,1.8,2.4,5.0,6.0
